pulse_time,wash,chase_time,measurement,noise
20,4,0,0,0
20,4,5,6.637638136,4.908350086
20,4,10,16.22863399,4.908350086
20,4,20,16.93856314,4.908350086
20,4,40,17.76214936,4.908350086
20,4,60,20.21504285,4.908350086
20,4,90,22.30945516,4.908350086
20,4,120,24.17195871,4.908350086
20,4,180,25.65611875,4.908350086
20,4,240,27.85675824,4.908350086
120,4,0,0,0
120,4,5,3.894216942,0.224230358
120,4,10,4.44875155,0.224230358
120,4,20,5.257081723,0.224230358
120,4,40,6.740155953,0.224230358
120,4,60,8.083143681,0.224230358
120,4,90,9.680927444,0.224230358
120,4,120,11.38211268,0.224230358
120,4,180,13.68908353,0.224230358
120,4,240,15.83449357,0.224230358
1200,4,0,0,0
1200,4,5,0.234908411,0.016362173
1200,4,10,0.466846012,0.016362173
1200,4,20,0.733726517,0.016362173
1200,4,40,1.198192197,0.016362173
1200,4,60,1.706880823,0.016362173
1200,4,240,5.443359296,0.016362173
1200,4,720,13.49368915,0.016362173
1200,4,1440,23.47876399,0.016362173
